ccaa;provincia;anio;precio_compra_m2;precio_alquiler_m2;renta_neta_anual;renta_mensual_neta;renta_es_proyeccion;tipo_interes_hipoteca
Andalucia;Almería;2020;1082.6667;6.1083;9709;809.0833;False;2.2333
Andalucia;Almería;2021;1082.4167;6.3;10103;841.9167;False;1.9904
Andalucia;Almería;2022;1116.5833;6.8;10605;883.75;False;2.1038
Andalucia;Almería;2023;1174.75;7.2333;11543;961.9167;False;3.2812
Andalucia;Almería;2024;1254.8333;7.775;12230.6471;1019.2206;True;3.4529
Andalucia;Almería;2025;1357.1;8.36;12959.2592;1079.9383;True;3.075
Andalucia;Cádiz;2020;1515.75;7.6833;10113;842.75;False;2.2333
Andalucia;Cádiz;2021;1543.0833;7.7417;10712;892.6667;False;1.9904
Andalucia;Cádiz;2022;1593.8333;8.3417;11396;949.6667;False;2.1038
Andalucia;Cádiz;2023;1746.4167;8.9667;12335;1027.9167;False;3.2812
Andalucia;Cádiz;2024;1876;9.55;13179.872;1098.3227;True;3.4529
Andalucia;Cádiz;2025;2069.3;10.21;14082.6126;1173.5511;True;3.075
Andalucia;Córdoba;2020;1205.5;6.7583;10314;859.5;False;2.2333
Andalucia;Córdoba;2021;1188.3333;6.975;10979;914.9167;False;1.9904
Andalucia;Córdoba;2022;1177.5;7.0083;11569;964.0833;False;2.1038
Andalucia;Córdoba;2023;1216.5;7.225;12386;1032.1667;False;3.2812
Andalucia;Córdoba;2024;1223.6667;7.7083;13165.6334;1097.1361;True;3.4529
Andalucia;Córdoba;2025;1228.7;8.38;13994.3406;1166.1951;True;3.075
Andalucia;Granada;2020;1193.6667;7.4083;10463;871.9167;False;2.2333
Andalucia;Granada;2021;1250.9167;7.6667;11100;925;False;1.9904
Andalucia;Granada;2022;1304.3333;7.8167;11754;979.5;False;2.1038
Andalucia;Granada;2023;1350.8333;8.5167;12709;1059.0833;False;3.2812
Andalucia;Granada;2024;1446.6667;9.075;13560.7108;1130.0592;True;3.4529
Andalucia;Granada;2025;1574.5;9.72;14469.5002;1205.7917;True;3.075
Andalucia;Huelva;2020;1241.9167;6.8167;10112;842.6667;False;2.2333
Andalucia;Huelva;2021;1251.5;6.975;10609;884.0833;False;1.9904
Andalucia;Huelva;2022;1276;7.8667;11199;933.25;False;2.1038
Andalucia;Huelva;2023;1359.6667;8.325;12008;1000.6667;False;3.2812
Andalucia;Huelva;2024;1442.5;8.5167;12716.4771;1059.7064;True;3.4529
Andalucia;Huelva;2025;1545.7;9.16;13466.7547;1122.2296;True;3.075
Andalucia;Jaén;2020;853.25;4.7833;9958;829.8333;False;2.2333
Andalucia;Jaén;2021;838.3333;4.875;10689;890.75;False;1.9904
Andalucia;Jaén;2022;823.5833;5.0917;11074;922.8333;False;2.1038
Andalucia;Jaén;2023;820.4167;5.6167;11847;987.25;False;3.2812
Andalucia;Jaén;2024;840.1667;5.8667;12554.7785;1046.2315;True;3.4529
Andalucia;Jaén;2025;830.6;6.33;13304.8419;1108.7368;True;3.075
Andalucia;Málaga;2020;2233.3333;9.6833;10261;855.0833;False;2.2333
Andalucia;Málaga;2021;2365.1667;9.5667;10929;910.75;False;1.9904
Andalucia;Málaga;2022;2627.1667;11.125;11744;978.6667;False;2.1038
Andalucia;Málaga;2023;2951.1667;13.1833;12950;1079.1667;False;3.2812
Andalucia;Málaga;2024;3296;14.725;13996.2039;1166.3503;True;3.4529
Andalucia;Málaga;2025;3750.8;16.18;15126.9285;1260.5774;True;3.075
Andalucia;Sevilla;2020;1408.1667;9.2083;10717;893.0833;False;2.2333
Andalucia;Sevilla;2021;1395.1667;9.1;11292;941;False;1.9904
Andalucia;Sevilla;2022;1426.75;9.2;12013;1001.0833;False;2.1038
Andalucia;Sevilla;2023;1515.3333;9.7583;12964;1080.3333;False;3.2812
Andalucia;Sevilla;2024;1587.9167;10.4;13813.8672;1151.1556;True;3.4529
Andalucia;Sevilla;2025;1683.8;11.34;14719.4483;1226.6207;True;3.075
Aragon;Huesca;2020;1412.6667;7.4417;13158;1096.5;False;2.2333
Aragon;Huesca;2021;1380.25;7.8083;13679;1139.9167;False;1.9904
Aragon;Huesca;2022;1382.5833;7.675;14252;1187.6667;False;2.1038
Aragon;Huesca;2023;1428.4167;8.0583;15140;1261.6667;False;3.2812
Aragon;Huesca;2024;1550.3333;8.9083;15865.6691;1322.1391;True;3.4529
Aragon;Huesca;2025;1601.6;9.49;16626.1199;1385.51;True;3.075
Aragon;Teruel;2020;893.1667;5.075;12656;1054.6667;False;2.2333
Aragon;Teruel;2021;893.0833;5.4167;13134;1094.5;False;1.9904
Aragon;Teruel;2022;884.5833;5.7917;13736;1144.6667;False;2.1038
Aragon;Teruel;2023;897.1667;6.225;14573;1214.4167;False;3.2812
Aragon;Teruel;2024;935.25;6.5167;15275.1206;1272.9267;True;3.4529
Aragon;Teruel;2025;921.6;7.51;16011.0691;1334.2558;True;3.075
Aragon;Zaragoza;2020;1332.6667;7.9417;13637;1136.4167;False;2.2333
Aragon;Zaragoza;2021;1336.75;8.0667;14087;1173.9167;False;1.9904
Aragon;Zaragoza;2022;1360.75;8.3333;14750;1229.1667;False;2.1038
Aragon;Zaragoza;2023;1422.75;8.6917;15650;1304.1667;False;3.2812
Aragon;Zaragoza;2024;1478.0833;9.375;16385.9677;1365.4973;True;3.4529
Aragon;Zaragoza;2025;1515.7;10.27;17156.5456;1429.7121;True;3.075
