ccaa;provincia;anio;renta_neta_anual;is_projection;renta_mensual_neta
Andalucia;Almería;2015;8029;False;669.0833
Andalucia;Almería;2016;8207;False;683.9167
Andalucia;Almería;2017;8569;False;714.0833
Andalucia;Almería;2018;9072;False;756
Andalucia;Almería;2019;9436;False;786.3333
Andalucia;Almería;2020;9709;False;809.0833
Andalucia;Almería;2021;10103;False;841.9167
Andalucia;Almería;2022;10605;False;883.75
Andalucia;Almería;2023;11543;False;961.9167
Andalucia;Almería;2024;12230.6471;True;1019.2206
Andalucia;Almería;2025;12959.2592;True;1079.9383
Andalucia;Cádiz;2015;8489;False;707.4167
Andalucia;Cádiz;2016;8696;False;724.6667
Andalucia;Cádiz;2017;9028;False;752.3333
Andalucia;Cádiz;2018;9509;False;792.4167
Andalucia;Cádiz;2019;10055;False;837.9167
Andalucia;Cádiz;2020;10113;False;842.75
Andalucia;Cádiz;2021;10712;False;892.6667
Andalucia;Cádiz;2022;11396;False;949.6667
Andalucia;Cádiz;2023;12335;False;1027.9167
Andalucia;Cádiz;2024;13179.872;True;1098.3227
Andalucia;Cádiz;2025;14082.6126;True;1173.5511
Andalucia;Córdoba;2015;8614;False;717.8333
Andalucia;Córdoba;2016;8892;False;741
Andalucia;Córdoba;2017;9290;False;774.1667
Andalucia;Córdoba;2018;9710;False;809.1667
Andalucia;Córdoba;2019;10182;False;848.5
Andalucia;Córdoba;2020;10314;False;859.5
Andalucia;Córdoba;2021;10979;False;914.9167
Andalucia;Córdoba;2022;11569;False;964.0833
Andalucia;Córdoba;2023;12386;False;1032.1667
Andalucia;Córdoba;2024;13165.6334;True;1097.1361
Andalucia;Córdoba;2025;13994.3406;True;1166.1951
Andalucia;Granada;2015;8877;False;739.75
Andalucia;Granada;2016;9090;False;757.5
Andalucia;Granada;2017;9440;False;786.6667
Andalucia;Granada;2018;9885;False;823.75
Andalucia;Granada;2019;10380;False;865
Andalucia;Granada;2020;10463;False;871.9167
Andalucia;Granada;2021;11100;False;925
Andalucia;Granada;2022;11754;False;979.5
Andalucia;Granada;2023;12709;False;1059.0833
Andalucia;Granada;2024;13560.7108;True;1130.0592
Andalucia;Granada;2025;14469.5002;True;1205.7917
Andalucia;Huelva;2015;8401;False;700.0833
Andalucia;Huelva;2016;8585;False;715.4167
Andalucia;Huelva;2017;8948;False;745.6667
Andalucia;Huelva;2018;9416;False;784.6667
Andalucia;Huelva;2019;9958;False;829.8333
Andalucia;Huelva;2020;10112;False;842.6667
Andalucia;Huelva;2021;10609;False;884.0833
Andalucia;Huelva;2022;11199;False;933.25
Andalucia;Huelva;2023;12008;False;1000.6667
Andalucia;Huelva;2024;12716.4771;True;1059.7064
Andalucia;Huelva;2025;13466.7547;True;1122.2296
Andalucia;Jaén;2015;8318;False;693.1667
Andalucia;Jaén;2016;8747;False;728.9167
Andalucia;Jaén;2017;9044;False;753.6667
Andalucia;Jaén;2018;9417;False;784.75
Andalucia;Jaén;2019;9758;False;813.1667
Andalucia;Jaén;2020;9958;False;829.8333
Andalucia;Jaén;2021;10689;False;890.75
Andalucia;Jaén;2022;11074;False;922.8333
Andalucia;Jaén;2023;11847;False;987.25
Andalucia;Jaén;2024;12554.7785;True;1046.2315
Andalucia;Jaén;2025;13304.8419;True;1108.7368
Andalucia;Málaga;2015;8688;False;724
Andalucia;Málaga;2016;8854;False;737.8333
Andalucia;Málaga;2017;9313;False;776.0833
Andalucia;Málaga;2018;9832;False;819.3333
Andalucia;Málaga;2019;10338;False;861.5
Andalucia;Málaga;2020;10261;False;855.0833
Andalucia;Málaga;2021;10929;False;910.75
Andalucia;Málaga;2022;11744;False;978.6667
