Comunidades;Provincias;Periodo;Total
Andalucía;Almería;2023;11,543
Andalucía;Almería;2022;10,605
Andalucía;Almería;2021;10,103
Andalucía;Almería;2020;9,709
Andalucía;Almería;2019;9,436
Andalucía;Almería;2018;9,072
Andalucía;Almería;2017;8,569
Andalucía;Almería;2016;8,207
Andalucía;Almería;2015;8,029
Andalucía;Cádiz;2023;12,335
Andalucía;Cádiz;2022;11,396
Andalucía;Cádiz;2021;10,712
Andalucía;Cádiz;2020;10,113
Andalucía;Cádiz;2019;10,055
Andalucía;Cádiz;2018;9,509
Andalucía;Cádiz;2017;9,028
Andalucía;Cádiz;2016;8,696
Andalucía;Cádiz;2015;8,489
Andalucía;Córdoba;2023;12,386
Andalucía;Córdoba;2022;11,569
Andalucía;Córdoba;2021;10,979
Andalucía;Córdoba;2020;10,314
Andalucía;Córdoba;2019;10,182
Andalucía;Córdoba;2018;9,710
Andalucía;Córdoba;2017;9,290
Andalucía;Córdoba;2016;8,892
Andalucía;Córdoba;2015;8,614
Andalucía;Granada;2023;12,709
Andalucía;Granada;2022;11,754
Andalucía;Granada;2021;11,100
Andalucía;Granada;2020;10,463
Andalucía;Granada;2019;10,380
Andalucía;Granada;2018;9,885
Andalucía;Granada;2017;9,440
Andalucía;Granada;2016;9,090
Andalucía;Granada;2015;8,877
Andalucía;Huelva;2023;12,008
Andalucía;Huelva;2022;11,199
Andalucía;Huelva;2021;10,609
Andalucía;Huelva;2020;10,112
Andalucía;Huelva;2019;9,958
Andalucía;Huelva;2018;9,416
Andalucía;Huelva;2017;8,948
Andalucía;Huelva;2016;8,585
Andalucía;Huelva;2015;8,401
Andalucía;Jaén;2023;11,847
Andalucía;Jaén;2022;11,074
Andalucía;Jaén;2021;10,689
Andalucía;Jaén;2020;9,958
Andalucía;Jaén;2019;9,758
Andalucía;Jaén;2018;9,417
Andalucía;Jaén;2017;9,044
Andalucía;Jaén;2016;8,747
Andalucía;Jaén;2015;8,318
Andalucía;Málaga;2023;12,950
Andalucía;Málaga;2022;11,744
Andalucía;Málaga;2021;10,929
Andalucía;Málaga;2020;10,261
Andalucía;Málaga;2019;10,338
Andalucía;Málaga;2018;9,832
Andalucía;Málaga;2017;9,313
Andalucía;Málaga;2016;8,854
Andalucía;Málaga;2015;8,688
Andalucía;Sevilla;2023;12,964
Andalucía;Sevilla;2022;12,013
Andalucía;Sevilla;2021;11,292
Andalucía;Sevilla;2020;10,717
Andalucía;Sevilla;2019;10,604
Andalucía;Sevilla;2018;10,083
Andalucía;Sevilla;2017;9,584
Andalucía;Sevilla;2016;9,272
Andalucía;Sevilla;2015;9,051
Aragón;Huesca;2023;15,140
Aragón;Huesca;2022;14,252
Aragón;Huesca;2021;13,679
Aragón;Huesca;2020;13,158
Aragón;Huesca;2019;12,949
Aragón;Huesca;2018;12,513
Aragón;Huesca;2017;11,954
Aragón;Huesca;2016;11,478
Aragón;Huesca;2015;11,297
Aragón;Teruel;2023;14,573
Aragón;Teruel;2022;13,736
Aragón;Teruel;2021;13,134
Aragón;Teruel;2020;12,656
Aragón;Teruel;2019;12,461
Aragón;Teruel;2018;11,991
Aragón;Teruel;2017;11,432
Aragón;Teruel;2016;11,126
Aragón;Teruel;2015;10,911
Aragón;Zaragoza;2023;15,650
Aragón;Zaragoza;2022;14,750
Aragón;Zaragoza;2021;14,087
Aragón;Zaragoza;2020;13,637
Aragón;Zaragoza;2019;13,516
Aragón;Zaragoza;2018;13,063
Aragón;Zaragoza;2017;12,592
Aragón;Zaragoza;2016;12,008
Aragón;Zaragoza;2015;12,020
Asturias;Asturias;2023;15,784
Asturias;Asturias;2022;14,842
Asturias;Asturias;2021;14,057
Asturias;Asturias;2020;13,505
Asturias;Asturias;2019;13,465
Asturias;Asturias;2018;12,923
Asturias;Asturias;2017;12,489
Asturias;Asturias;2016;12,147
Asturias;Asturias;2015;11,959
Baleares;Baleares;2023;16,118
Baleares;Baleares;2022;14,740
Baleares;Baleares;2021;13,468
Baleares;Baleares;2020;12,486
Baleares;Baleares;2019;13,428
Baleares;Baleares;2018;12,893
Baleares;Baleares;2017;12,297
Baleares;Baleares;2016;11,488
Baleares;Baleares;2015;11,213
Baleares;Baleares;2023;17,125
Baleares;Baleares;2022;15,386
Baleares;Baleares;2021;13,834
Baleares;Baleares;2020;12,416
Baleares;Baleares;2019;13,784
Baleares;Baleares;2018;12,985
Baleares;Baleares;2017;12,543
